timestamp,name,batch_size,latent_dim,lambda_coord,lambda_desc,lambda_pad,lambda_collapse,beta,recon_loss,kl,scaled_kl,total_loss,scaled_coord,scaled_desc,scaled_pad,scaled_col,pca_sil,umap_sil,pairwise_mean,pairwise_std,k_used
2025-02-12 17:05:21,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.02_co1.5_de1.5_pd0.1_cl0.4_tr0.001,64,16,1.5,1.5,0.1,0.4,0.02,3.931984821955363,2.2088471386167736,0.0441769427723354,3.9761617647276974,2.7124165693918862,1.0065341591835022,0.213003537721104,0.0,0.32948318,0.39278367,5.556176662445068,1.112874984741211,5
2025-02-12 17:07:34,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.02_co1.5_de1.5_pd0.3_cl0.5_tr0.001,64,16,1.5,1.5,0.3,0.5,0.02,4.085459444257948,3.494583659701877,0.0698916731940375,4.1553511174519855,2.575551562839084,1.3322725031110976,0.177565433912807,0.0,0.3444428145885467,0.3901301324367523,5.375215530395508,1.1834604740142822,5
2025-02-12 17:06:34,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.02_co1.5_de2_pd0.5_cl0.5_tr0.001,64,16,1.5,2.0,0.5,0.5,0.02,4.625745508405897,4.171241124471028,0.0834248224894205,4.709170330895318,2.847160312864516,1.619388805495368,0.1591407325532701,0.0,0.3297933042049408,0.3864162266254425,5.488652229309082,1.099231481552124,5
2025-02-12 17:08:34,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.02_co1.5_de2_pd0.5_cl0.4_tr0.001,64,16,1.5,2.0,0.5,0.4,0.02,4.728885014851888,3.102126227484809,0.0620425245496961,4.790927539401584,2.662584993574354,1.9703081183963351,0.0918824697534243,0.0040341826776663,0.3590526282787323,0.3811187446117401,5.482721328735352,1.239691138267517,5
2025-02-12 17:09:48,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.05_co2_de1.5_pd0.5_cl0.3_tr0.001,64,16,2.0,1.5,0.5,0.3,0.05,5.203770531548394,2.034259557723999,0.1017129778861999,5.305483509434594,3.5309900442759194,1.545530080795288,0.1259146961900923,0.0012890019764502,0.328021377325058,0.3897343575954437,5.543046951293945,1.0926861763000488,5
2025-02-12 17:08:49,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co2_de1.5_pd0.3_cl0.1_tr0.001,64,16,2.0,1.5,0.3,0.1,0.03,5.545780552758111,1.6413169039620294,0.0492395071188608,5.595020059876972,3.93167691760593,1.1964310142729018,0.4176239437527126,0.0,0.3226784467697143,0.3888858556747436,5.488279819488525,1.0997072458267212,5
2025-02-12 17:07:49,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co2_de2_pd0.5_cl0.4_tr0.001,64,16,2.0,2.0,0.5,0.4,0.03,5.792842812008328,2.143214556905958,0.0642964367071787,5.857139248715506,3.297540691163805,2.414435280693902,0.0808265705903371,0.0,0.3081511557102203,0.3703933656215668,5.412878513336182,1.0431101322174072,5
2025-02-12 17:06:49,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.05_co2_de1.5_pd0.3_cl0.4_tr0.001,64,16,2.0,1.5,0.3,0.4,0.05,5.865609486897786,1.1455084747738309,0.0572754237386915,5.922884910636478,3.657294008466932,2.132493257522583,0.0595541211465994,0.0162265913354025,0.3305150866508484,0.3951785564422607,5.515759944915772,1.145012378692627,5
2025-02-12 17:05:49,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co2_de2_pd0.3_cl0.2_tr0.001,64,16,2.0,2.0,0.3,0.2,0.03,5.958000712924534,3.0036602550082736,0.0901098076502482,6.048110520574782,3.3849850760565863,2.455310000313653,0.0366519190784957,0.0810085497796535,0.329040914773941,0.3909315168857574,5.640833854675293,1.0824580192565918,5
2025-02-12 17:09:33,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co1.5_de2_pd0.3_cl0.4_tr0.001,64,16,1.5,2.0,0.3,0.4,0.03,6.5333404541015625,0.4439154035515255,0.0133174621065457,6.546657916208108,4.642405351003011,1.0737900469038222,0.8150261441866556,0.0020719331999619,0.3160164654254913,0.3602497577667236,5.593746185302734,1.0333915948867798,5
2025-02-12 17:07:05,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co3_de1.5_pd0.1_cl0.2_tr0.001,64,16,3.0,1.5,0.1,0.2,0.03,6.947404278649224,3.29255035188463,0.0987765105565389,7.046180789205764,5.048464987013075,1.839358806610108,0.0164245030739241,0.0431261389619774,0.3286488056182861,0.4207289218902588,5.520874500274658,1.0746080875396729,5
2025-02-12 17:06:04,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co3_de2_pd0.5_cl0.1_tr0.001,64,16,3.0,2.0,0.5,0.1,0.03,7.36747407913208,2.632805479897393,0.0789841643969218,7.446458243529002,4.981182681189643,2.159168428844876,0.2270621756712595,0.0,0.3027641475200653,0.3460817635059356,5.458306312561035,1.1134259700775146,5
2025-02-12 17:10:18,loss_penalties_toy_bs64_ld16_adam_lr1e-05_wd1e-05_be0.03_co4_de1.5_pd0.7_cl0.1_tr0.001,64,16,4.0,1.5,0.7,0.1,0.03,8.640793164571127,3.9584365685780845,0.11875309705734254,8.75954626162847,6.825573762257894,1.6710340181986492,0.10607455008559757,0.038043351016110845,0.35771700739860535,0.4377096891403198,5.460202693939209,1.0836690664291382,5
