timestamp,name,batch_size,latent_dim,learning_rate,lambda_coord,lambda_desc,lambda_collapse,beta,recon_loss,kl,scaled_kl,total_loss,avg_weighted_f1,avg_euclid_dist,scaled_coord,scaled_desc,scaled_collapse,epochs_run,pca_sil,umap_sil,pairwise_mean,pairwise_std,k_used
05/03/2025 22:23,full_higher_coor_desc_lamb_bs64_ld16_adam_lr0.0001_wd1e-05_be0.3_co2.5_de5.0_cl0.3_tr0.001,64,16,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05, 2.5e-05]",2.5,5,0.3,0.3,4.166593584903451,3.603168149327123,1.0809504447981368,5.247544029701587,0.5220359563827515,"[0.7355636774107467, 0.7470996171929115, 0.7510357180307078, 0.75316289413807, 0.7559641350147336, 0.7543476251668708, 0.7575661761816158, 0.7563955201659092, 0.7622276516847832, 0.7578315693278646, 0.7587334971095241, 0.7530680160189784, 0.7513224427090135, 0.7490791941798011, 0.7507916508718978, 0.7524374238280362, 0.7484333196351695, 0.748830798060395, 0.7420165067495301, 0.7433064524517503, 0.7440820336341858, 0.7456880558368771, 0.7495264022849327, 0.7519288783849671, 0.7538597278816755, 0.7530753543210584, 0.7543179988861084, 0.7540299434994542, 0.7549071921858677, 0.748776072679564, 0.7492528086484864, 0.7438981186511905, 0.744221782961557, 0.7478909949923671, 0.7416166330492774, 0.7464922209118687, 0.7395407793133758, 0.7366724956867307, 0.738595585490382, 0.7283636691958405, 0.7312374586282775, 0.7248292800992034, 0.7287613389103912, 0.7289962255677511, 0.7328444026237311, 0.7336876503256864, 0.7321406824644222, 0.7334446449612462, 0.7361046741175097, 0.734853095786516, 0.7315596439117609, 0.7406780428664629, 0.7359602284985919, 0.7377461832623149, 0.7387876039327577, 0.7381212572718776, 0.7393932702929474, 0.737918844056684, 0.7416601499845815, 0.740289105925449, 0.7337593048117882, 0.7434982574263285, 0.7479852978573289, 0.7389662251916043, 0.743304195792176, 0.7486440927483314, 0.7515625468520231, 0.7462415265482526, 0.7487481139427008, 0.7449272025463193, 0.7528201050536577, 0.7494273324345433, 0.7486011510671571, 0.7471560627915138, 0.7491766228232273, 0.7471512431322143, 0.7508314154868903, 0.7456602246262306, 0.7495086719823438, 0.7403981851976972, 0.7482045667116032, 0.742747520291528, 0.7506465315818787, 0.7469566755516585, 0.7509921068368957, 0.7414477550706198, 0.7450022946956546, 0.7469425478646922, 0.7469232068505398, 0.7489620363989542, 0.7397103531416073, 0.7402087214381196, 0.7435217901717784, 0.7389772173970245, 0.7455327289049015, 0.7440098052801087, 0.7367560198140699, 0.7485217022341352, 0.7462293547253276, 0.7434560129808825, 0.7466331637182901, 0.7338853353677794, 0.7483652234077454, 0.751273816408113, 0.7462020862934201, 0.7442183896552684, 0.747870615748472, 0.7482153787169346, 0.7382783792739691, 0.7475621104240417, 0.7404782924541208, 0.7445776906124381, 0.7403788843820261, 0.7415515184402466, 0.744102094062539, 0.7455949686294379, 0.7418010082355765, 0.7488571225210677, 0.7480213032212368, 0.7483398553936981, 0.7528229674627614, 0.7446187374203704, 0.7470643132231957, 0.7394065746041232, 0.7450111633123353, 0.7425908709681311, 0.7389789140501688, 0.7489846334900967, 0.7455690309058788, 0.7454323297323182, 0.7466889079227004, 0.7460114817286647, 0.7446248614510824, 0.7490162821703179, 0.7449039401010026, 0.7466173684874247, 0.7489172303399374, 0.7470841809760692, 0.743144593959631, 0.7437467949334965, 0.7510699103044909, 0.7423062546308651, 0.7440309524536133, 0.7478906290475712, 0.7432032324546991, 0.7393596103025037, 0.7486513257026672, 0.7398537882538729, 0.7392698207566905, 0.7381565404492755]",0.4668501393739567,3.698742605919062,0.000937857,150,0.3017011284828186,0.3641018569469452,5.554632186889648,0.9784243702888488,5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
